ID	name_txt
1577794	Trillesanthus acuminatus
307704	Stapeliopsis pillansii
2740976	unclassified Trimallena
2766946	unclassified Armstrongvirus
159736	Macrobrachium nipponense
458673	Hantaanvirus CGAa4MP9
13131	Macrosiphum euphorbiae
221069	environmental samples
446742	Norovirus Hu/CMH038/02/2002/THA
100756	Hericium coralloides
150264	Chrysocharis gemma
228308	Alethe poliocephala
2620932	unclassified Prasinocyma
462326	Rhacophorus minimus
670609	Taxigramma multipunctata
194181	Ascitendus triseptatus
61555	Groutiella chimborazensis
2585960	Sarangesa brigida
608028	Gyrodactylus pharyngicus
290527	Microlophus theresiae
2669290	Neofoleyellides boerewors
2620839	unclassified Sarsia
592321	Atta columbica
490208	bacterium GMW-40
119803	Vittadinia cervicularis
111114	Echinopla sp.
103699	Chlamydosaurus kingii
378003	Velocitermes velox
231223	Elysia crispata
2684971	unclassified Oncidium
627094	Norovirus Human/GII/InDRE2378_QRoo/2006/Mexico
39435	Bambusa stenostachya
507417	Combretum oxystachyum
1680619	Vincentia badia
237108	Stauralia chloracantha
2016626	Lepanthes williamsii
198251	Candidatus Pelagibacter
2641947	unclassified Brachygobius
204691	bacterium Ellin317
163686	Monsonia mossamedensis
1577498	HIV-1 M:C_510HALD
2018429	Epilachna confusa
2641206	unclassified Telotrochidium
121387	Centropus phasianinus
591728	Ixora collina
1740633	environmental samples
129185	Nuculana pernula
295239	Dragmacidon lunaecharta
172715	Odontesthes mirinensis
1756119	Rutstroemiaceae sp.
495552	Hypochaeris patagonica
13483	Degeneria vitiensis
145641	Oxychilus helveticus
268256	Pseudophoxinus battalgilae
1521207	Asplenium pellucidum
55537	Staurotypus triporcatus
7156	Chironomus piger
2567689	Triaenodes laciniatus
1649101	Phebellia helvina
676534	Norovirus Hu/GII.4/NSW227C/2006/AU
2677553	unclassified Napo
1540188	Pauropsalta confinis
62867	Satyrium rhynchanthum
465484	Hesperapis cockerelli
173033	Colaconema asparagopsis
350192	Maxillaria conduplicata
1977608	Crotalaria spartea
29725	Phytolacca dioica
640172	Sapovirus pig/87/2005/SVN
2589841	Citharexylum affine
189933	Sapromyza bentejui
1969273	Phyllanthus pentaphyllus
403007	Philodendron mamei
302713	Paratya norfolkensis
1645961	Trichadenotecnum germanicum
6252	Ascaris lumbricoides
245164	Alnicola geraniolens
36744	Mycoplasma simbae
446448	Leuctra albida
1674136	Puccinellia deschampsioides
167370	Phellinus populicola
376683	Scaligeria napiformis
405557	Micrococcus xinjiangensis
503080	Pyrenaearia carascalensis
1955936	Chilicola minor
123750	Batrachospermum cayennense
1679306	Syzygium polypetaloideum
192175	Usnea articulata
37598	Fringilla coelebs
1550800	Brickellia arguta
65273	Lissonota sp.
221320	Trichomanes galeottii
296748	Pseudeuphausia sinica
676778	Norovirus Hu/GII/Seoul0544/2007/KR
355400	Stethophyma gracile
2611670	Labarrus meruensis
450922	Hypolepis millefolium
76731	Roseateles depolymerans
1208	Trichodesmium thiebautii
2597330	Leptobrachella shangsiensis
158897	Pseudarthrobacter scleromae
1520341	Lernanthropus corniger
634093	Astragalus siccaneus
1651170	unclassified Graphiolaceae
1586124	Cortinarius herculeus
364888	Ocypode ryderi
1521251	Hymenophyllum balfourii
71651	Pinus rzedowskii
201525	Trichostema laxum
207917	Ptilota gunneri
112002	Psychrobacter pacificensis
76848	Sphingomonas roseiflava
228486	Renantherella histrionica
149331	Ochlerotatus longifilamentus
2024928	Aspidoglossum interruptum
388678	Glyceria elata
163988	Aphanotorulus ammophilus
245476	Chaetomitrium dusenii
260105	Locustella naevia
2016720	Zygosporium gibbum
2625701	unclassified Herminodes
2753102	Besida xylinata
350368	Maxillaria sigmoidea
461279	Plasmopara euphrasiae
344024	environmental samples
309709	Pinguicula ramosa
45914	Epigaea repens
591754	Ixora pavetta
1550050	Bitylenchus brevilineatus
96878	Tylos europaeus
1580190	Distimake semisagittus
178222	Gymnogobius macrognathos
2634537	unclassified Pelolorhinus
247327	Acinopus giganteus
345807	Sarcomphalus guatemalensis
234633	bacterium Ellin6062
54087	Petrogale mareeba
86183	Pseudomonas boreopolis
687029	Coleophora laricella
166760	Pseudapocryptes elongatus
205167	unclassified Andrena
2021220	Jannaschia confluentis
1598005	Platymantis bufonulus
2613518	Ipomoea viridiflora
225161	Lottia lindbergi
2641626	unclassified Anaerotruncus
63028	Pleurospermum foetens
98217	Chrysochromulina campanulifera
2626182	unclassified Karstenula
98372	Agaricus subfloccosus
587682	Teucrium viscidum
1537466	Campsicnemus lawakua
2762205	Aspicera hartigi
502431	Carex renauldii
452318	Versicolorisporium triseptatum
167848	Pseudosimochromis curvifrons
1720772	Zelotes hentzi
388172	Penstemon leonardii
78710	Calochilus robertsonii
1963963	Laparocerus curvipes
591786	Ixora yaouhensis
2624792	unclassified Simkania
354804	Autochton longipennis
1540796	Norovirus A19/2012/Nanjing
185059	Monsanima morrenioides
